importer,good,nexp_bin,f_bin,final_source,n_exporters,fstat_kp,sigma_pub,sigma_se_pub,sigma_base,boot_n_ok,boot_yield,boot_med,boot_sd,boot_mad_sd,base_source,boot_share_same,boot_share_hliml,boot_share_step2,boot_share_boundary,boot_n_same,boot_med_same,boot_sd_same,boot_mad_sd_same,boot_med_se_same,ratio_sd,ratio_mad,ratio_sd_same,ratio_mad_same,ratio_se_same
586,7115,10-19,F<2,hliml,17,1.10963911006341,1.54976226162456,0.382935516504492,1.54976226162456,323,0.80952380952381,1.99514413618261,2.79906069697287,0.900077997084384,hliml,0.346749226006192,0.346749226006192,0.278637770897833,0.374613003095975,112,1.64755266310611,1.13277506675068,0.327351266724728,0.234321495109171,7.3094831279251,2.35046883428434,2.95813529413742,0.854846971920631,0.611908493753993
598,9507,10-19,F<2,hliml,18,1.02160416953376,4.03672993233084,4.21791843291054,4.03672993233084,260,0.651629072681704,3.87822787507423,3.23085056981124,3.3743762183233,hliml,0.503846153846154,0.503846153846154,0.276923076923077,0.219230769230769,131,2.63357259882301,1.68635017157932,1.85650552329952,1.0381135462456,0.765982230619339,0.800009832336857,0.399806254768105,0.440147326893294,0.246119872339319
548,8513,10-19,F<2,hliml,14,0.869910764050509,1.31470213029934,0.354824339537955,1.31470213029934,317,0.794486215538847,2.09771293468863,3.62401150993677,1.35412369440824,hliml,0.451104100946372,0.451104100946372,0.258675078864353,0.290220820189274,143,1.35541421855421,0.792276991166777,0.363396167217421,0.403767641286169,10.2135369705919,3.81632132725604,2.23287103753498,1.02415794725533,1.13793670922335
858,7205,10-19,F<2,hliml,13,1.16223776677203,1.91848746437773,0.344566992381013,1.91848746437773,390,0.977443609022556,2.32776124942555,1.05990117051356,0.626535376977932,hliml,0.68974358974359,0.68974358974359,0.230769230769231,0.0794871794871795,269,2.1814538854176,0.722859431220009,0.617982318623951,0.345144727753829,3.07603802438961,1.81832674293168,2.09787776311635,1.79350411469652,1.00167669970017
24,5406,10-19,F<2,hliml,10,1.37660220833426,2.66255376658496,2.09684579970444,2.66255376658496,324,0.81203007518797,3.59940459520035,3.22527065010468,2.92226737991767,hliml,0.478395061728395,0.478395061728395,0.342592592592593,0.179012345679012,155,2.48645372163456,2.01735496176674,1.50112232055992,1.22340779019707,1.53815347345012,1.39364915642799,0.962090279624328,0.715895427680717,0.583451482397758
212,2833,10-19,F<2,hliml,12,0.555514890606267,1.27627831030423,0.230904600445072,1.27627831030423,361,0.904761904761905,1.77885015332136,1.70891786763682,0.700771514447066,hliml,0.714681440443213,0.714681440443213,0.166204986149584,0.119113573407202,258,1.64237603958043,0.843147122778495,0.467963687517381,0.154234239372541,7.40096933687268,3.03489628658901,3.65149555770356,2.02665380687684,0.667956546016202
854,7225,10-19,F<2,hliml,13,0.7363554176506,2.58883998213207,0.676358070814815,2.58883998213207,381,0.954887218045113,3.05224669970247,1.82075658688726,0.983373865115155,hliml,0.805774278215223,0.805774278215223,0.112860892388451,0.0813648293963255,307,2.92942916756691,1.16540560708164,0.8285737949844,0.45657626330342,2.6920009761897,1.45392493643267,1.72306010287963,1.22505198169101,0.675051105331498
368,2901,10-19,F<2,hliml,17,0.717501256741124,2.80255692179743,1.1331324406492,2.80255692179743,394,0.987468671679198,3.31116610599685,2.05069680139682,0.986815916217209,hliml,0.461928934010152,0.461928934010152,0.225888324873096,0.312182741116751,182,3.28198416538068,1.0878089725778,0.732275190419657,0.959405329172268,1.8097591489146,0.870874295728252,0.960001614599052,0.64623971933953,0.846684195734966
579,8001,10-19,F<2,hliml,18,1.34774685961174,2.14727770377237,0.276968387492481,2.14727770377237,371,0.929824561403509,2.09466688583338,1.81227070949897,0.465165239063425,hliml,0.576819407008086,0.576819407008086,0.0727762803234501,0.350404312668464,214,2.12312830662833,0.727823261898102,0.319426213188402,0.302416232939809,6.54324028061927,1.67948856284565,2.62782069999906,1.15329484379178,1.09187996391111
887,7409,10-19,F<2,hliml,18,0.927394616273061,1.11257266723442,0.795404275936831,1.11257266723442,338,0.847117794486216,2.46631000725249,3.20343491829594,1.66535036650028,hliml,0.452662721893491,0.452662721893491,0.103550295857988,0.443786982248521,153,2.4274921780751,1.14071582193503,1.33043895544903,0.329069255200268,4.02742984317368,2.09371563226615,1.43413337901847,1.6726575349146,0.413713208685846
499,0210,10-19,F<2,hliml,15,0.560211228279501,1.44958631913561,0.288654884470648,1.44958631913561,379,0.949874686716792,1.7737736295087,2.90543803849837,0.619501107422731,hliml,0.686015831134565,0.686015831134565,0.158311345646438,0.155672823218997,260,1.60605271485237,1.23271215686422,0.395565654561611,0.248554729055847,10.0654386771474,2.14616533705573,4.27053974549866,1.3703757526467,0.861079241779197
340,2503,10-19,F<2,hliml,15,0.826680500827649,1.0936571644232,0.319703123831762,1.0936571644232,313,0.784461152882206,1.60973965044638,2.57284880407472,0.53318613211251,hliml,0.603833865814696,0.603833865814696,0.115015974440895,0.281150159744409,189,1.40135416786572,1.10451871605078,0.395231054455515,0.408026307591597,8.04761859452032,1.66775390156366,3.45482616126083,1.23624395570028,1.27626625195665
418,2102,10-19,F<2,hliml,10,0.384844553860254,1.6434437241844,0.318070843085131,1.6434437241844,374,0.93734335839599,1.74715952286792,2.53793339051101,0.2768221903674,hliml,0.75668449197861,0.75668449197861,0.0347593582887701,0.20855614973262,283,1.70985196571606,0.757699084446217,0.14851816474641,0.345172642388276,7.97914504169669,0.870316146184164,2.38217083055116,0.466934231713467,1.08520680185669
20,3208,10-19,F<2,hliml,13,1.64719608898825,2.96669967248549,2.44498821930961,2.96669967248549,361,0.904761904761905,2.60237032673733,2.37571465517046,1.33483352229831,hliml,0.623268698060942,0.623268698060942,0.260387811634349,0.116343490304709,225,2.29346013293972,1.3777262012954,0.852242810464249,0.576605849587439,0.971667117415103,0.545946811422766,0.563489913945037,0.348567246146035,0.235831749631192
51,2818,10-19,F<2,hliml,18,1.29811343975511,1.29341515161067,0.2147867562031,1.29341515161067,376,0.942355889724311,1.44368238485046,2.07080947624643,0.332648249696067,hliml,0.518617021276596,0.518617021276596,0.183510638297872,0.297872340425532,195,1.38010087514515,0.573164116531646,0.318841285873999,0.0980392682541031,9.64123446367565,1.54873724794055,2.66852634056109,1.48445505444715,0.456449317393658
414,7114,20-49,F<2,hliml_boundary,26,1.44537175131509,1.52770237068319,0.565791177613918,1.52770237068319,358,0.897243107769424,2.15654363536561,3.52555514854237,1.29061966780994,hliml_boundary,0.575418994413408,0.162011173184358,0.262569832402235,0.575418994413408,206,2.72814776082683,3.94473707557545,2.21951709088971,1.13730179105249,6.23119498506588,2.28108835710872,6.97207243883049,3.92285560239727,2.01010873985129
246,5508,20-49,F<2,hliml_boundary,35,1.74137853961538,1.84000952939166,0.420051888776756,1.84000952939166,393,0.984962406015038,2.10140236664894,1.82637286200116,0.379818962309644,hliml_boundary,0.27735368956743,0.544529262086514,0.178117048346056,0.27735368956743,109,2.01578767483352,2.45002620640757,0.370769142440522,0.393209463803994,4.34796964565445,0.904219151152312,5.83267513340401,0.882674622700183,0.936097359183575
192,8522,20-49,F<2,hliml_boundary,29,1.2442760277584,1.50296653489323,1.68299891500191,1.50296653489323,301,0.754385964912281,4.93194740447655,3.89335167132535,5.63763102167286,hliml_boundary,0.747508305647841,0.119601328903655,0.132890365448505,0.747508305647841,225,5.78759585089402,3.83191247283639,6.24531039146453,2.61568811353416,2.3133417595346,3.34975321220956,2.27683597338032,3.71082258924537,1.55418288759336
705,5905,20-49,F<2,hliml_boundary,21,0.59525228006929,4.24772449235213,3.07468146200105,4.24772449235213,290,0.726817042606516,3.71210506007331,3.43475776315769,3.29666516161096,hliml_boundary,0.548275862068966,0.26551724137931,0.186206896551724,0.548275862068966,159,6.22156150165631,3.42824154608991,5.60191291764435,2.4823221006878,1.1171101155052,1.07219729990027,1.11499080098488,1.82194903338004,0.807342852053449
710,1520,20-49,F<2,hliml_boundary,47,1.1870743972527,2.64419973350034,0.268136632054448,2.64419973350034,399,1,1.86864851864414,0.817601825288732,0.795391423725382,hliml_boundary,0.568922305764411,0.323308270676692,0.107769423558897,0.568922305764411,227,2.37739866787231,0.742456735613723,0.963282497643448,0.236461099632393,3.04919853368901,2.96636613069664,2.76894928501586,3.59250614234553,0.881867941059157
266,3210,20-49,F<2,hliml_boundary,26,0.833394001274504,1.02086320410224,0.470947030384471,1.02086320410224,331,0.829573934837093,2.88004050216349,3.47511241225861,2.4614468679471,hliml_boundary,0.380664652567976,0.362537764350453,0.256797583081571,0.380664652567976,126,4.74424907139843,3.41657353744647,4.94808219440269,1.54991994177296,7.37898784375305,5.2265896356489,7.25468750627274,10.5066639667803,3.29107063379854
104,2102,20-49,F<2,hliml_boundary,22,1.16722474088272,5.4487761593814,2.22946221104004,5.4487761593814,344,0.862155388471178,3.36182059264687,2.4740001904538,1.48711418898865,hliml_boundary,0.316860465116279,0.398255813953488,0.284883720930233,0.316860465116279,109,3.05812674322074,2.80587103860794,2.34854896416229,0.622434832597084,1.10968473841039,0.667028210491587,1.25854164502703,1.05341501306125,0.279186087799497
231,9024,20-49,F<2,hliml_boundary,42,1.11420404249759,8.14368068139347,4.28834036029422,8.14368068139347,354,0.887218045112782,6.06239481256008,3.64414619307715,5.83789345089843,hliml_boundary,0.406779661016949,0.0734463276836158,0.519774011299435,0.406779661016949,144,10,2.38487379351774,2.63362665009481e-15,4.49046824698725,0.849780075018841,1.36134097585899,0.556129782887409,6.14136572385807e-16,1.04713429198963
84,1701,20-49,F<2,hliml_boundary,20,0.933227279042751,1.42527171845346,0.24273468997059,1.42527171845346,354,0.887218045112782,1.79381686498342,2.35849520983993,0.733701930316939,hliml_boundary,0.686440677966102,0.155367231638418,0.15819209039548,0.686440677966102,243,1.61946741040232,2.42141368856914,0.546757567308192,0.276397476326047,9.71635002036871,3.02264966909277,9.97555680592057,2.25249043461583,1.13868139885377
32,9104,20-49,F<2,hliml_boundary,22,1.61380961936262,2.29982622824733,0.717923411729715,2.29982622824733,379,0.949874686716792,2.76541984500468,3.15418795053358,1.24352183146262,hliml_boundary,0.688654353562005,0.224274406332454,0.0870712401055409,0.688654353562005,261,2.74287585973333,3.33828860375634,1.23413311045471,0.923330061423855,4.39348807825349,1.73210931855052,4.64992302690519,1.71903171047351,1.2861122040849
499,7315,20-49,F<2,hliml_boundary,38,1.92337537772067,5.30266120527368,0.239512788688836,5.30266120527368,391,0.979949874686717,4.72320014294152,2.19501428756388,1.73310009070862,hliml_boundary,0.641943734015345,0.0997442455242967,0.258312020460358,0.641943734015345,251,4.69682526252129,1.70865773689317,1.29148323796469,0.528306479778765,9.16449722613995,7.23593967652467,7.13388936869248,5.39212642896713,2.20575478524914
