"cell_id","sigma_new","omega_new","sigma_stage1","importer","good","adjust","hliml_status","final_source","sigma_prod","omega_prod","sigma_hliml_prod","omega_hliml_prod","sigma_step2_prod","omega_step2_prod","status_prod","sigma_diff","heuristic_boundary"
"344_8439",3.01718299918668,1e-04,4.5577995003306,344,"8439",1,"hliml_fail_no_convergence","step2_weighted",3.01718299918682,1e-04,NA,NA,3.01718299918682,1e-04,"ok",-1.38111744263369e-13,FALSE
"348_2907",2.05247373161929,2.10337336004672,4.03163360347396,348,"2907",1,"hliml_fail_no_convergence","step2_weighted",2.0524737316193,2.10337336004672,NA,NA,2.0524737316193,2.10337336004672,"ok",-7.54951656745106e-15,FALSE
"348_4107",3.31422102204145,1e-04,3.89025020208578,348,"4107",1,"hliml_fail_no_convergence","step2_weighted",3.31422102204151,1e-04,NA,NA,3.31422102204151,1e-04,"ok",-6.17284001691587e-14,FALSE
"352_3214",2.06074610817446,1.64554767449731,3.26309401734852,352,"3214",0,"ok","hliml",2.06074610817453,1.64554767449799,2.06074610817453,1.64554767449799,2.00009764793137,1.20813754947046,"ok",-7.46069872548105e-14,FALSE
"352_9507",4.1080411288467,2.74309964001131,1.91184031550772,352,"9507",1,"hliml_fail_no_convergence","step2_weighted",4.1080411288467,2.74309964001131,NA,NA,4.1080411288467,2.74309964001131,"ok",-5.32907051820075e-15,FALSE
"36_0209",2.12226290698747,0.46653510696044,2.2456968821685,36,"0209",0,"ok","hliml",2.12226290705024,0.46653510696348,2.12226290705024,0.46653510696348,9.74922192596167,0.629711196164788,"ok",-6.27728979907261e-11,FALSE
"360_6815",2.53516223171928,2.17478119184121,3.06096007928604,360,"6815",0,"ok","hliml",2.5351622160006,2.1747811241877,2.5351622160006,2.1747811241877,3.91604992812222,2.71318346962997,"ok",1.57186796911901e-08,FALSE
"364_2905",1.22054494328581,0.146588042410312,2.7865093154613,364,"2905",0,"ok","hliml",1.22054494328501,0.146588042411014,1.22054494328501,0.146588042411014,1.27608125143045,0.144280765700649,"ok",8.01358979174438e-13,FALSE
"372_2811",10,1e-04,9.61679466774667,372,"2811",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,22.0214947498257,1e-04,"ok",0,TRUE
"372_3910",10,1e-04,3.37530874305708,372,"3910",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,21.5381221981941,1e-04,"ok",0,TRUE
"376_8305",10,4.38530699606637,2.86220121790167,376,"8305",0,"ok","hliml",1.5908698008513,0.253929828827092,1.5908698008513,0.253929828827092,18.0036708149157,4.38530699606637,"ok",8.4091301991487,TRUE
"380_2003",1.29944044501997,0.351406851131831,4.28826425304397,380,"2003",1,"hliml_fail_no_convergence","step2_weighted",1.29944044501997,0.35140685113183,NA,NA,1.29944044501997,0.35140685113183,"ok",3.10862446895044e-15,FALSE
"392_2401",1.48065264808795,0.334647463732597,29.6076599240599,392,"2401",0,"ok","hliml",1.48065264795662,0.334647463705487,1.48065264795662,0.334647463705487,1.87428483574276,0.378050168022373,"ok",1.31331390207379e-10,FALSE
"398_2919",3.05170995626553,1e-04,5.09433037185418,398,"2919",1,"hliml_fail_no_convergence","step2_weighted",3.05170995626544,1e-04,NA,NA,3.05170995626544,1e-04,"ok",8.74855743404623e-14,FALSE
"398_4301",2.05410505621962,0.209730205665944,11023.6390932106,398,"4301",0,"ok","hliml",2.05410505621962,0.209730205665944,2.05410505621962,0.209730205665944,2.24479065589183,0.288437645566328,"ok",-2.66453525910038e-15,FALSE
"398_8305",6.64650472594445,1e-04,6.45684981638271,398,"8305",1,"hliml_fail_no_convergence","step2_weighted",6.64650472594451,1e-04,NA,NA,6.64650472594451,1e-04,"ok",-5.59552404411079e-14,FALSE
"40_3812",10,1e-04,4.6490461871405,40,"3812",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,26.153224468498,1e-04,"ok",0,TRUE
"40_7409",10,1e-04,6.89257803132509,40,"7409",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,22.1977406163996,1e-04,"ok",0,TRUE
"414_2529",4.81176865885681,0.524593522280388,3.7917596597494,414,"2529",0,"ok","hliml",4.81176865886071,0.524593522280538,4.81176865886071,0.524593522280538,4.24341328183239,0.470051242070428,"ok",-3.89732690564415e-12,FALSE
"414_2843",1.74673411662691,2.07375689068971,4.74331000220665,414,"2843",1,"hliml_fail_no_convergence","step2_weighted",1.74673411662691,2.07375689068971,NA,NA,1.74673411662691,2.07375689068971,"ok",2.66453525910038e-15,FALSE
