"cell_id","sigma_new","omega_new","sigma_stage1"
"300_9019",1.2357481490216,0.362472056911281,2.93265129683147
"31_4009",10,1e-04,3.71995440383003
"320_5204",1.78846266745698,0.42995904863594,4.90989145161627
"328_0713",1.46763295796676,0.0549779606588258,4.95674190501041
"340_2843",3.43926130790929,10,4.62317161952828
"344_8439",3.01718299918668,1e-04,4.5577995003306
"348_2907",2.05247373161929,2.10337336004672,4.03163360347396
"348_4107",3.31422102204145,1e-04,3.89025020208578
"352_3214",2.06074610817446,1.64554767449731,3.26309401734852
"352_9507",4.1080411288467,2.74309964001131,1.91184031550772
"36_0209",2.12226290698747,0.46653510696044,2.2456968821685
"360_6815",2.53516223171928,2.17478119184121,3.06096007928604
"364_2905",1.22054494328581,0.146588042410312,2.7865093154613
"372_2811",10,1e-04,9.61679466774667
"372_3910",10,1e-04,3.37530874305708
"376_8305",10,4.38530699606637,2.86220121790167
"380_2003",1.29944044501997,0.351406851131831,4.28826425304397
"392_2401",1.48065264808795,0.334647463732597,29.6076599240599
"398_2919",3.05170995626553,1e-04,5.09433037185418
"398_4301",2.05410505621962,0.209730205665944,11023.6390932106
"398_8305",6.64650472594445,1e-04,6.45684981638271
"40_3812",10,1e-04,4.6490461871405
"40_7409",10,1e-04,6.89257803132509
"414_2529",4.81176865885681,0.524593522280388,3.7917596597494
"414_2843",1.74673411662691,2.07375689068971,4.74331000220665
"428_0305",1.30134032816339,0.0705840042342604,1.88369489438937
"428_7205",1.33335051828514,0.388759233963814,2.63419634386647
"430_0306",4.83902480967476,1e-04,6.45734313739277
"454_7117",2.32791066794902,2.05902747371198,7.32904093207965
"466_7315",2.19473623915655,0.16723469637755,3.40273699870372
"470_2002",4.90624770314546,1e-04,5.66659687724082
"478_8476",2.19570331856269,6.93574800791637,10.9940160630629
"48_2518",2.73851493924412,0.294121002534928,21.3951682764194
"48_3101",2.79983707180189,1e-04,4.15997289219101
"48_7214",10,1e-04,8.17465313965074
"480_8455",1.93251399332538,0.536288619939481,2.60567317066142
"484_1302",10,1e-04,3.75189000849259
"484_5101",4.17056283654394,1e-04,5.23110175918045
"490_7210",1.59544758472817,0.54992679536881,3.04906916677646
